Name of Countries ,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017,,,,,
USA,329147,348182,410803,526120,611165,266515,799062,804933,827140,931292,,,,,
UK ,405472,387846,430917,555907,651803,242372,796191,776530,769251,759494,,,,,
BANGLADESH,431312,435867,454611,477446,456371,225232,480240,541884,468899,431962,,,,,
 SRILANKA  ,112813,108008,109098,128711,136400,227720,204084,218805,239995,266515,,,,,
CANADA ,88600,93598,107671,135884,157643,168019,208214,222364,224069,242372,,,,,
FRANCE ,102434,78194,97654,131824,152258,169647,204827,207802,196462,225232,,,,,
GERMANY,80011,64891,76868,116679,120243,266515,184195,204344,191616,227720,,,,,
JAPAN,80634,59709,77996,96851,103082,242372,145538,145352,124756,168019,,,,,
AUSTRALIA,52691,50743,58730,81608,96258,225232,135925,146209,149074,169647,,,,,
MALAYSIA,57869,63748,70750,84390,96276,227720,112741,115794,135343,179077,,,,,
SINGAPORE,42824,44306,48368,60710,68666,168019,92908,97851,95328,107487,,,,,
CHINA (MAIN),13901,15422,21152,34100,44897,169647,88103,98093,100209,119530,,,,,
RUSSIA,15154,18643,26948,47077,56446,796191,75543,91095,94945,122048,,,,,
ITALY,41351,37136,46908,65561,67642,480240,93540,85766,77873,133556,NA,NA,NA,NA,NA
KOREA (SOUTH),27150,29374,35584,47835,49895,204084,84583,82335,88562,95587,,,,,
